"plz";"note";"qkm";"einwohner";"Freq";"prop"
13593;"13593 Berlin Wilhelmstadt";4,577945;20238;11;0,135434622014282
13595;"13595 Berlin Wlhelmstadt";5,300651;19966;41;0,504801772962325
13597;"13597 Berlin Spandau";5,798688;8490;8;0,098497906919478
13599;"13599 Berlin Haselhorst";7,35512;13720;27;0,332430435853238
13627;"13627 Berlin Charlottenburg-Nord";4,859318;17126;8;0,098497906919478
13629;"13629 Berlin Siemensstadt";6,018706;11830;34;0,418616104407781
14050;"14050 Berlin Westend";2,631033;10170;30;0,369367150948042
14052;"14052 Berlin Westend";2,3303;11471;56;0,689485348436346
14055;"14055 Berlin Westend";7,894966;10661;12;0,147746860379217
14057;"14057 Berlin Charlottenburg";1,081274;12237;68;0,837232208815563
14059;"14059 Berlin Charlottenburg";2,803599;19704;41;0,504801772962325
14089;"14089 Berlin Gatow";24,915982;17734;26;0,320118197488303
14109;"14109 Berlin Wannsee";25,270616;10064;11;0,135434622014282
14129;"14129 Berlin Nikolassee";20,521454;13834;17;0,209308052203891
14163;"14163 Berlin Zehlendorf";6,031861;16361;43;0,529426249692194
14165;"14165 Berlin Zehlendorf";3,403824;14025;17;0,209308052203891
14167;"14167 Berlin Zehlendorf";5,826905;15485;16;0,196995813838956
14169;"14169 Berlin Zehlendorf";5,099146;17274;46;0,566362964786998
14193;"14193 Berlin Grunewald";20,738788;15505;22;0,270869244028564
14195;"14195 Berlin Dahlem";8,08728;14667;42;0,517114011327259
14197;"14197 Berlin Wilmersdorf";1,587332;17889;79;0,972666830829845
14199;"14199 Berlin Schmargendorf";2,415716;13657;43;0,529426249692194
