"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"12043";"Berlin";1930;"erdgas";2004;108;9000;100;"Berlin, Stadt";"SFH"
"13465";"Berlin";1986;"heizoel";2003;144;24500,04;204,17;"Berlin, Stadt";"SFH"
"12621";"Berlin";1942;"heizoel";2004;144;36999,95;308,33;"Berlin, Stadt";"SFH"
"14197";"Berlin";1920;"erdgas";2004;72;13500;225;"Berlin, Stadt";"SFH"
"12623";"Berlin";1996;"erdgas";2004;132;10070;91,55;"Berlin, Stadt";"SFH"
"13503";"Berlin";1980;"erdgas";2004;204;34133,4;200,78;"Berlin, Stadt";"SFH"
"13125";"Berlin";1989;"erdgas";2004;144;36890;307,42;"Berlin, Stadt";"SFH"
"12623";"Berlin";1996;"erdgas";2002;132;9050;82,27;"Berlin, Stadt";"SFH"
"10318";"Berlin";1936;"erdgas";2004;213,6;49871,7;280,18;"Berlin, Stadt";"SFH"
"12437";"Berlin";1930;"erdgas";2004;108;14175;157,5;"Berlin, Stadt";"SFH"
"13505";"Berlin";2000;"erdgas";2004;213,6;11397,6;64,03;"Berlin, Stadt";"SFH"
"12623";"Berlin";1912;"erdgas";2004;120;16650;166,5;"Berlin, Stadt";"SFH"
"12621";"Berlin";1936;"erdgas";2004;144;38367;319,73;"Berlin, Stadt";"SFH"
"12555";"Berlin";1935;"erdgas";2004;144;9900;82,5;"Berlin, Stadt";"SFH"
"12489";"Berlin";1930;"erdgas";2004;114;16650;175,26;"Berlin, Stadt";"SFH"
"13125";"Berlin";1998;"erdgas";2004;111,6;9752,4;104,86;"Berlin, Stadt";"SFH"
"12305";"Berlin";1988;"heizoel";2004;144;12000,04;100;"Berlin, Stadt";"SFH"
"12169";"Berlin";2001;"erdgas";2003;141,6;9000;76,27;"Berlin, Stadt";"SFH"
"12307";"Berlin";1965;"heizoel";2004;204;40320;237,18;"Berlin, Stadt";"SFH"
"12277";"Berlin";1984;"heizoel";2004;144;25000,01;208,33;"Berlin, Stadt";"SFH"
"12351";"Berlin";1957;"heizoel";2004;168;31999,97;228,57;"Berlin, Stadt";"SFH"
"13505";"Berlin";2000;"erdgas";2003;213,6;10404,9;58,45;"Berlin, Stadt";"SFH"
"12161";"Berlin";1906;"erdgas";2004;120;14850;148,5;"Berlin, Stadt";"SFH"
"10551";"Berlin";1906;"erdgas";2003;108;8977,5;99,75;"Berlin, Stadt";"SFH"
"14089";"Berlin";1981;"fernwaerme";2004;120;14000;140;"Berlin, Stadt";"SFH"
"12623";"Berlin";1929;"erdgas";2004;156;42525;327,12;"Berlin, Stadt";"SFH"
