plz;ort;bundesland;FW ja/nein?
88361;Altshausen;Baden-Württemberg;keine fernwaerme
56858;Altstrimmig;Rheinland-Pfalz;keine fernwaerme
17166;Alt Sührkow;Mecklenburg-Vorpommern;fernwaerme
17129;Alt Tellin;Mecklenburg-Vorpommern;fernwaerme
15328;Alt Tucheband;Brandenburg;fernwaerme
87452;Altusried;Bayern;keine fernwaerme
17375;Altwarp;Mecklenburg-Vorpommern;keine fernwaerme
55469;Altweidelbach;Rheinland-Pfalz;keine fernwaerme
17379;Altwigshagen;Mecklenburg-Vorpommern;keine fernwaerme
19230;Alt Zachun;Mecklenburg-Vorpommern;fernwaerme
15913;Alt Zauche-Wußwerk;Brandenburg;keine fernwaerme
25486;Alveslohe;Schleswig-Holstein;keine fernwaerme
63755;Alzenau;Bayern;fernwaerme
55232;Alzey;Rheinland-Pfalz;keine fernwaerme
92224;Amberg;Bayern;fernwaerme
86854;Amberg;Bayern;keine fernwaerme
21385;Amelinghausen;Niedersachsen;fernwaerme
83123;Amerang;Bayern;keine fernwaerme
86735;Amerdingen;Bayern;keine fernwaerme
39393;Am Großen Bruch;Sachsen-Anhalt;keine fernwaerme
54675;Ammeldingen an der Our;Rheinland-Pfalz;keine fernwaerme
54673;Ammeldingen bei Neuerburg;Rheinland-Pfalz;keine fernwaerme
15838;Am Mellensee;Brandenburg;fernwaerme
72119;Ammerbuch;Baden-Württemberg;keine fernwaerme
90614;Ammerndorf;Bayern;keine fernwaerme
22949;Ammersbek;Schleswig-Holstein;fernwaerme
92260;Ammerthal;Bayern;keine fernwaerme
37345;Am Ohmberg;Thüringen;keine fernwaerme
35287;Amöneburg;Hessen;keine fernwaerme
63916;Amorbach;Bayern;keine fernwaerme
84539;Ampfing;Bayern;keine fernwaerme
18233;Am Salzhaff;Mecklenburg-Vorpommern;fernwaerme
73340;Amstetten;Baden-Württemberg;keine fernwaerme
19273;Amt Neuhaus;Niedersachsen;keine fernwaerme
9439;Amtsberg;Sachsen;keine fernwaerme
99334;Amt Wachsenburg;Thüringen;fernwaerme
88279;Amtzell;Baden-Württemberg;keine fernwaerme
82346;Andechs;Bayern;keine fernwaerme
27446;Anderlingen;Niedersachsen;keine fernwaerme
56626;Andernach;Rheinland-Pfalz;keine fernwaerme
6647;An der Poststraße;Sachsen-Anhalt;keine fernwaerme
49832;Andervenne;Niedersachsen;keine fernwaerme
99189;Andisleben;Thüringen;fernwaerme
74918;Angelbachtal;Baden-Württemberg;keine fernwaerme
35719;Angelburg;Hessen;keine fernwaerme
99338;Angelroda;Thüringen;keine fernwaerme
83454;Anger;Bayern;keine fernwaerme
16278;Angermünde;Brandenburg;fernwaerme
39326;Angern;Sachsen-Anhalt;fernwaerme
39517;Angern;Sachsen-Anhalt;fernwaerme
56584;Anhausen;Rheinland-Pfalz;keine fernwaerme
17219;Ankershagen;Mecklenburg-Vorpommern;fernwaerme
17389;Anklam;Mecklenburg-Vorpommern;fernwaerme
49577;Ankum;Niedersachsen;keine fernwaerme
9456;Annaberg-Buchholz;Sachsen;fernwaerme
6925;Annaburg;Sachsen-Anhalt;keine fernwaerme
76855;Annweiler am Trifels;Rheinland-Pfalz;keine fernwaerme
59609;Anröchte;Nordrhein-Westfalen;keine fernwaerme
99976;Anrode;Thüringen;keine fernwaerme
91522;Ansbach;Bayern;fernwaerme
56729;Anschau;Rheinland-Pfalz;keine fernwaerme
82387;Antdorf;Bayern;keine fernwaerme
36326;Antrifttal;Hessen;keine fernwaerme
53533;Antweiler;Rheinland-Pfalz;keine fernwaerme
85646;Anzing;Bayern;keine fernwaerme
31552;Apelern;Niedersachsen;fernwaerme
26689;Apen;Niedersachsen;keine fernwaerme
38486;Apenburg-Winterfeld;Sachsen-Anhalt;fernwaerme
21641;Apensen;Niedersachsen;keine fernwaerme
86974;Apfeldorf;Bayern;keine fernwaerme
87742;Apfeltrach;Bayern;keine fernwaerme
99510;Apolda;Thüringen;fernwaerme
21279;Appel;Niedersachsen;keine fernwaerme
25482;Appen;Schleswig-Holstein;keine fernwaerme
55437;Appenheim;Rheinland-Pfalz;keine fernwaerme
77767;Appenweier;Baden-Württemberg;keine fernwaerme
56769;Arbach;Rheinland-Pfalz;keine fernwaerme
91722;Arberg;Bayern;keine fernwaerme
53533;Aremberg;Rheinland-Pfalz;keine fernwaerme
39619;Arendsee (Altmark);Sachsen-Anhalt;keine fernwaerme
54518;Arenrath;Rheinland-Pfalz;keine fernwaerme
37318;Arenshausen;Thüringen;keine fernwaerme
86561;Aresing;Bayern;keine fernwaerme
56729;Arft;Rheinland-Pfalz;keine fernwaerme
88260;Argenbühl;Baden-Württemberg;keine fernwaerme
55595;Argenschwang;Rheinland-Pfalz;fernwaerme
55496;Argenthal;Rheinland-Pfalz;keine fernwaerme
37627;Arholzen;Niedersachsen;keine fernwaerme
25767;Arkebek;Schleswig-Holstein;fernwaerme
25860;Arlewatt;Schleswig-Holstein;keine fernwaerme
55288;Armsheim;Rheinland-Pfalz;keine fernwaerme
24616;Armstedt;Schleswig-Holstein;keine fernwaerme
21769;Armstorf;Niedersachsen;keine fernwaerme
93471;Arnbruck;Bayern;keine fernwaerme
39596;Arneburg;Sachsen-Anhalt;fernwaerme
24399;Arnis;Schleswig-Holstein;keine fernwaerme
59755;Arnsberg;Nordrhein-Westfalen;fernwaerme
59757;Arnsberg;Nordrhein-Westfalen;keine fernwaerme
59759;Arnsberg;Nordrhein-Westfalen;keine fernwaerme
59821;Arnsberg;Nordrhein-Westfalen;keine fernwaerme
59823;Arnsberg;Nordrhein-Westfalen;keine fernwaerme
93473;Arnschwang;Bayern;keine fernwaerme
1477;Arnsdorf;Sachsen;keine fernwaerme
56244;Arnshöfen;Rheinland-Pfalz;keine fernwaerme
99310;Arnstadt;Thüringen;fernwaerme
97450;Arnstein;Bayern;keine fernwaerme
6456;Arnstein;Sachsen-Anhalt;fernwaerme
94424;Arnstorf;Bayern;keine fernwaerme
