"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
68159;"Baden-Württemberg";1992;"waerme";2006;979,81;99893;122,34;"Mannheim";"MFH"
68239;"Baden-Württemberg";1984;"erdgas";2007;482,4;45900;114,18;"Mannheim";"MFH"
68199;"Baden-Württemberg";1925;"erdgas";2011;300;27000;108;"Mannheim";"MFH"
68169;"Baden-Württemberg";1895;"waerme";2007;1296,41;101270;93,74;"Mannheim";"MFH"
68159;"Baden-Württemberg";1954;"waerme";2009;912;81000;106,58;"Mannheim";"MFH"
68259;"Baden-Württemberg";1980;"erdgas";2005;2572,74;25566,3;11,92;"Mannheim";"MFH"
68219;"Baden-Württemberg";2002;"erdgas";2011;1596;36046,35;27,1;"Mannheim";"MFH"
68229;"Baden-Württemberg";1984;"heizoel";2006;427,68;55550,88;155,87;"Mannheim";"MFH"
68229;"Baden-Württemberg";1911;"erdgas";2010;342;29700;104,21;"Mannheim";"MFH"
68163;"Baden-Württemberg";1938;"waerme";2006;593,28;39180;79,25;"Mannheim";"MFH"
68307;"Baden-Württemberg";1962;"erdgas";2009;300;49100,4;196,4;"Mannheim";"MFH"
68307;"Baden-Württemberg";1973;"heizoel";2006;300;55440;221,76;"Mannheim";"MFH"
68239;"Baden-Württemberg";1959;"heizoel";2005;324;37569,97;139,15;"Mannheim";"MFH"
68167;"Baden-Württemberg";1984;"waerme";2006;875,86;73260;100,37;"Mannheim";"MFH"
68259;"Baden-Württemberg";1962;"erdgas";2006;410,4;71798,4;209,94;"Mannheim";"MFH"
68305;"Baden-Württemberg";1965;"waerme";2003;1656,2;117700;85,28;"Mannheim";"MFH"
68229;"Baden-Württemberg";1982;"erdgas";2010;372;28800;92,9;"Mannheim";"MFH"
68199;"Baden-Württemberg";1970;"erdgas";2007;420;36713,7;104,9;"Mannheim";"MFH"
68163;"Baden-Württemberg";1950;"waerme";2009;1047,6;31000;35,51;"Mannheim";"MFH"
68199;"Baden-Württemberg";1988;"waerme";2005;3081,98;236950;92,26;"Mannheim";"MFH"
68307;"Baden-Württemberg";1998;"erdgas";2008;454,8;32745,6;86,4;"Mannheim";"MFH"
68259;"Baden-Württemberg";1983;"erdgas";2011;1158,85;126790;131,29;"Mannheim";"MFH"
68159;"Baden-Württemberg";1954;"waerme";2010;912;81370;107,07;"Mannheim";"MFH"
68199;"Baden-Württemberg";1993;"waerme";2005;553,2;41000;88,94;"Mannheim";"MFH"
68159;"Baden-Württemberg";1985;"waerme";2005;595,16;56630;114,18;"Mannheim";"MFH"
68309;"Baden-Württemberg";1972;"waerme";2006;15260,4;2329720;183,2;"Mannheim";"MFH"
68161;"Baden-Württemberg";1958;"waerme";2005;1696,86;164840;116,57;"Mannheim";"MFH"
68309;"Baden-Württemberg";1991;"waerme";2005;2064,06;366640;213,16;"Mannheim";"MFH"
68229;"Baden-Württemberg";1996;"erdgas";2010;978;103505,4;127;"Mannheim";"MFH"
68239;"Baden-Württemberg";1980;"heizoel";2007;580,8;69874,56;144,37;"Mannheim";"MFH"
68239;"Baden-Württemberg";1974;"heizoel";2011;3105,6;361035,36;139,5;"Mannheim";"MFH"
68219;"Baden-Württemberg";1994;"waerme";2007;690;40490;70,42;"Mannheim";"MFH"
68165;"Baden-Württemberg";1959;"waerme";2003;734,4;96000;156,86;"Mannheim";"MFH"
68163;"Baden-Württemberg";1970;"waerme";2012;1368;102000;89,47;"Mannheim";"MFH"
68163;"Baden-Württemberg";2006;"waerme";2016;721,2;38230;63,61;"Mannheim";"MFH"
68259;"Baden-Württemberg";1968;"heizoel";2006;820,08;105497,28;154,37;"Mannheim";"MFH"
68161;"Baden-Württemberg";1987;"waerme";2005;1938,43;261955;162,17;"Mannheim";"MFH"
68199;"Baden-Württemberg";1991;"waerme";2016;2976,38;206840;83,39;"Mannheim";"MFH"
68199;"Baden-Württemberg";1977;"waerme";2007;1070,69;57230;64,15;"Mannheim";"MFH"
68159;"Baden-Württemberg";1903;"waerme";2014;1680;88200;63;"Mannheim";"MFH"
68259;"Baden-Württemberg";1987;"erdgas";2005;323,6;24504,3;90,87;"Mannheim";"MFH"
68161;"Baden-Württemberg";1952;"waerme";2009;3016,8;502920;200,05;"Mannheim";"MFH"
68309;"Baden-Württemberg";1954;"heizoel";2013;726;70509,6;116,54;"Mannheim";"MFH"
68239;"Baden-Württemberg";1982;"waerme";2006;373,66;33460;107,46;"Mannheim";"MFH"
68239;"Baden-Württemberg";1983;"waerme";2017;410;49870;145,96;"Mannheim";"MFH"
68309;"Baden-Württemberg";1980;"erdgas";2007;4772,4;470087,1;118,2;"Mannheim";"MFH"
68161;"Baden-Württemberg";1978;"waerme";2005;985,08;116000;141,31;"Mannheim";"MFH"
68219;"Baden-Württemberg";1994;"waerme";2006;690;42618;74,12;"Mannheim";"MFH"
68229;"Baden-Württemberg";1983;"erdgas";2008;336;35774,1;127,76;"Mannheim";"MFH"
68165;"Baden-Württemberg";1907;"waerme";2008;1113,6;103000;110,99;"Mannheim";"MFH"
68305;"Baden-Württemberg";1900;"erdgas";2007;506,4;35990,1;85,28;"Mannheim";"MFH"
68309;"Baden-Württemberg";1969;"waerme";2011;4297,34;122160;34,11;"Mannheim";"MFH"
68239;"Baden-Württemberg";1950;"heizoel";2004;360;34999,98;116,67;"Mannheim";"MFH"
68239;"Baden-Württemberg";1994;"waerme";2007;364,8;43470;142,99;"Mannheim";"MFH"
68305;"Baden-Württemberg";1960;"erdgas";2010;338,4;50400;178,72;"Mannheim";"MFH"
68169;"Baden-Württemberg";1972;"waerme";2002;2642,39;434200;197,19;"Mannheim";"MFH"
68259;"Baden-Württemberg";1940;"erdgas";2004;319,2;39797;149,61;"Mannheim";"MFH"
68239;"Baden-Württemberg";1964;"erdgas";2006;346,6;34931,7;120,94;"Mannheim";"MFH"
68219;"Baden-Württemberg";1961;"waerme";2012;576;1e+05;208,33;"Mannheim";"MFH"
68165;"Baden-Württemberg";1958;"waerme";2005;898,8;80490;107,46;"Mannheim";"MFH"
68163;"Baden-Württemberg";1930;"waerme";2003;1140;75640;79,62;"Mannheim";"MFH"
68219;"Baden-Württemberg";1991;"erdgas";2015;576,6;79169,4;164,77;"Mannheim";"MFH"
68199;"Baden-Württemberg";1991;"waerme";2005;2343,56;173070;88,62;"Mannheim";"MFH"
68229;"Baden-Württemberg";1972;"heizoel";2004;1024,7;133449,12;156,28;"Mannheim";"MFH"
68259;"Baden-Württemberg";1994;"erdgas";2002;306;51000;200;"Mannheim";"MFH"
68161;"Baden-Württemberg";1960;"waerme";2014;1440;290000;241,67;"Mannheim";"MFH"
68163;"Baden-Württemberg";1970;"waerme";2012;480;59000;147,5;"Mannheim";"MFH"
68165;"Baden-Württemberg";1949;"waerme";2006;420;50000;142,86;"Mannheim";"MFH"
68161;"Baden-Württemberg";1955;"waerme";2003;910,8;87000;114,62;"Mannheim";"MFH"
68159;"Baden-Württemberg";1903;"waerme";2012;1680;116100;82,93;"Mannheim";"MFH"
68161;"Baden-Württemberg";1986;"waerme";2003;705,6;54000;91,84;"Mannheim";"MFH"
68239;"Baden-Württemberg";1983;"waerme";2005;433,8;43000;118,95;"Mannheim";"MFH"
68161;"Baden-Württemberg";1960;"erdgas";2007;1440;297000;247,5;"Mannheim";"MFH"
68219;"Baden-Württemberg";1953;"fluessiggas";2011;2648,4;189885,76;86,04;"Mannheim";"MFH"
68165;"Baden-Württemberg";1949;"waerme";2005;420;50000;142,86;"Mannheim";"MFH"
68307;"Baden-Württemberg";1970;"heizoel";2005;1296;161330,4;149,38;"Mannheim";"MFH"
68161;"Baden-Württemberg";1950;"waerme";2003;759,6;69000;109;"Mannheim";"MFH"
68161;"Baden-Württemberg";1952;"waerme";2007;3016,8;404900;161,06;"Mannheim";"MFH"
68165;"Baden-Württemberg";1913;"waerme";2007;612;45000;88,24;"Mannheim";"MFH"
68199;"Baden-Württemberg";1995;"waerme";2005;5455,87;312830;68,81;"Mannheim";"MFH"
68199;"Baden-Württemberg";2007;"erdgas";2008;2689,18;169287,3;75,54;"Mannheim";"MFH"
68165;"Baden-Württemberg";1920;"waerme";2005;1042,21;98840;113,81;"Mannheim";"MFH"
68161;"Baden-Württemberg";1985;"waerme";2012;4549,2;463349;122,22;"Mannheim";"MFH"
68167;"Baden-Württemberg";1985;"waerme";2004;848,41;93160;131,77;"Mannheim";"MFH"
68219;"Baden-Württemberg";1960;"heizoel";2004;450;61316,64;163,51;"Mannheim";"MFH"
68165;"Baden-Württemberg";1975;"waerme";2011;642;114000;213,08;"Mannheim";"MFH"
68165;"Baden-Württemberg";1949;"waerme";2006;408;55000;161,76;"Mannheim";"MFH"
68259;"Baden-Württemberg";2004;"erdgas";2006;721,99;58140;96,63;"Mannheim";"MFH"
68259;"Baden-Württemberg";1965;"heizoel";2006;328,8;49129,92;179,31;"Mannheim";"MFH"
68159;"Baden-Württemberg";1961;"erdgas";2011;1302;220742,1;203,45;"Mannheim";"MFH"
68239;"Baden-Württemberg";1995;"waerme";2015;1491,6;95040;76,46;"Mannheim";"MFH"
68167;"Baden-Württemberg";1984;"waerme";2004;875,86;79560;109;"Mannheim";"MFH"
68259;"Baden-Württemberg";1983;"erdgas";2005;1158,85;135390;140,2;"Mannheim";"MFH"
68165;"Baden-Württemberg";1950;"waerme";2008;503,88;63400;150,99;"Mannheim";"MFH"
68239;"Baden-Württemberg";1992;"waerme";2015;421,84;40150;114,21;"Mannheim";"MFH"
68165;"Baden-Württemberg";1985;"waerme";2006;854,92;93710;131,54;"Mannheim";"MFH"
68199;"Baden-Württemberg";1991;"waerme";2004;2976,38;192210;77,49;"Mannheim";"MFH"
68163;"Baden-Württemberg";1951;"waerme";2007;1444,2;116309;96,64;"Mannheim";"MFH"
68259;"Baden-Württemberg";1970;"heizoel";2005;460,8;94999,97;247,4;"Mannheim";"MFH"
68199;"Baden-Württemberg";2007;"erdgas";2010;2689,18;156294;69,74;"Mannheim";"MFH"
68165;"Baden-Württemberg";1950;"waerme";2006;1276,8;64000;60,15;"Mannheim";"MFH"
68167;"Baden-Württemberg";1982;"waerme";2008;6428,4;683000;127,5;"Mannheim";"MFH"
68239;"Baden-Württemberg";1994;"waerme";2005;364,8;45510;149,7;"Mannheim";"MFH"
68161;"Baden-Württemberg";1980;"waerme";2010;1610,4;155530;115,89;"Mannheim";"MFH"
68199;"Baden-Württemberg";1993;"waerme";2013;506,4;32420;76,82;"Mannheim";"MFH"
68165;"Baden-Württemberg";1958;"waerme";2013;6744;530800;94,45;"Mannheim";"MFH"
68159;"Baden-Württemberg";1965;"waerme";2007;1303,2;220182;202,75;"Mannheim";"MFH"
68239;"Baden-Württemberg";1993;"waerme";2005;2204,39;180670;98,35;"Mannheim";"MFH"
68219;"Baden-Württemberg";1983;"erdgas";2005;440,35;57420;156,48;"Mannheim";"MFH"
68307;"Baden-Württemberg";1980;"erdgas";2011;360;27000;90;"Mannheim";"MFH"
68199;"Baden-Württemberg";1994;"waerme";2011;360;40000;133,33;"Mannheim";"MFH"
68159;"Baden-Württemberg";1960;"waerme";2009;2595,6;79000;36,52;"Mannheim";"MFH"
68161;"Baden-Württemberg";1962;"heizoel";2003;1200;110000,02;110;"Mannheim";"MFH"
68199;"Baden-Württemberg";1988;"waerme";2006;653,09;46450;85,35;"Mannheim";"MFH"
